row: 1025 , cols: 29275, CPU data: 33.54 , GPU data: 96.18 are not equal, with difference (62.6358985901) 
row: 1025 , cols: 29276, CPU data: 94.85 , GPU data: 96.46 are not equal, with difference (1.6151809692) 
row: 1025 , cols: 29277, CPU data: 84.31 , GPU data: 19.10 are not equal, with difference (-65.2099151611) 
row: 1025 , cols: 29278, CPU data: 23.43 , GPU data: 52.50 are not equal, with difference (29.0668697357) 
row: 1025 , cols: 29279, CPU data: 113.02 , GPU data: 62.94 are not equal, with difference (-50.0812225342) 
row: 1025 , cols: 29440, CPU data: 15.52 , GPU data: 11.18 are not equal, with difference (-4.3438348770) 
row: 1025 , cols: 29441, CPU data: 91.24 , GPU data: 96.19 are not equal, with difference (4.9458770752) 
row: 1025 , cols: 29442, CPU data: 17.00 , GPU data: 58.18 are not equal, with difference (41.1807518005) 
row: 1025 , cols: 29443, CPU data: 66.03 , GPU data: 54.82 are not equal, with difference (-11.2124176025) 
row: 1025 , cols: 29444, CPU data: 45.61 , GPU data: 40.36 are not equal, with difference (-5.2461471558) 
row: 1025 , cols: 29445, CPU data: 40.05 , GPU data: 99.54 are not equal, with difference (59.4889717102) 
row: 1025 , cols: 29446, CPU data: 94.87 , GPU data: 81.63 are not equal, with difference (-13.2402801514) 
row: 1025 , cols: 29447, CPU data: 107.19 , GPU data: 75.31 are not equal, with difference (-31.8740692139) 
row: 1025 , cols: 29448, CPU data: 50.09 , GPU data: 96.01 are not equal, with difference (45.9152908325) 
row: 1025 , cols: 29449, CPU data: 80.21 , GPU data: 38.63 are not equal, with difference (-41.5858039856) 
row: 1025 , cols: 29450, CPU data: 41.00 , GPU data: 81.15 are not equal, with difference (40.1541748047) 
row: 1025 , cols: 29451, CPU data: 35.23 , GPU data: 107.42 are not equal, with difference (72.1872558594) 
row: 1025 , cols: 29452, CPU data: 48.83 , GPU data: 72.42 are not equal, with difference (23.5961494446) 
row: 1025 , cols: 29453, CPU data: 69.46 , GPU data: 72.34 are not equal, with difference (2.8772583008) 
row: 1025 , cols: 29454, CPU data: 36.14 , GPU data: 18.79 are not equal, with difference (-17.3503284454) 
row: 1025 , cols: 29455, CPU data: 65.25 , GPU data: 21.38 are not equal, with difference (-43.8757934570) 
row: 1025 , cols: 29456, CPU data: 73.03 , GPU data: 48.51 are not equal, with difference (-24.5196571350) 
row: 1025 , cols: 29457, CPU data: 77.18 , GPU data: 29.73 are not equal, with difference (-47.4429855347) 
row: 1025 , cols: 29458, CPU data: 77.62 , GPU data: 41.00 are not equal, with difference (-36.6208724976) 
row: 1025 , cols: 29459, CPU data: 34.01 , GPU data: 42.05 are not equal, with difference (8.0328903198) 
row: 1025 , cols: 29460, CPU data: 67.96 , GPU data: 83.57 are not equal, with difference (15.6144561768) 
row: 1025 , cols: 29461, CPU data: 50.57 , GPU data: 70.06 are not equal, with difference (19.4974670410) 
row: 1025 , cols: 29462, CPU data: 92.54 , GPU data: 42.72 are not equal, with difference (-49.8218650818) 
row: 1025 , cols: 29463, CPU data: 90.67 , GPU data: 21.40 are not equal, with difference (-69.2687988281) 
row: 1025 , cols: 29464, CPU data: 82.61 , GPU data: 24.17 are not equal, with difference (-58.4414138794) 
row: 1025 , cols: 29465, CPU data: 43.29 , GPU data: 69.89 are not equal, with difference (26.6030540466) 
row: 1025 , cols: 29466, CPU data: 73.17 , GPU data: 52.43 are not equal, with difference (-20.7401275635) 
row: 1025 , cols: 29467, CPU data: 93.65 , GPU data: 63.51 are not equal, with difference (-30.1423721313) 
row: 1025 , cols: 29468, CPU data: 86.21 , GPU data: 10.30 are not equal, with difference (-75.9192199707) 
row: 1025 , cols: 29469, CPU data: 65.80 , GPU data: 71.45 are not equal, with difference (5.6541442871) 
row: 1025 , cols: 29470, CPU data: 90.61 , GPU data: 62.00 are not equal, with difference (-28.6090469360) 
row: 1025 , cols: 29471, CPU data: 87.92 , GPU data: 68.41 are not equal, with difference (-19.5098953247) 
row: 1025 , cols: 29504, CPU data: 51.79 , GPU data: 41.77 are not equal, with difference (-10.0148315430) 
row: 1025 , cols: 29505, CPU data: 81.91 , GPU data: 39.41 are not equal, with difference (-42.5003662109) 
row: 1025 , cols: 29506, CPU data: 54.33 , GPU data: 64.85 are not equal, with difference (10.5136604309) 
row: 1025 , cols: 29507, CPU data: 36.62 , GPU data: 58.14 are not equal, with difference (21.5181007385) 
row: 1025 , cols: 29508, CPU data: 20.52 , GPU data: 73.68 are not equal, with difference (53.1634635925) 
row: 1025 , cols: 29509, CPU data: 48.27 , GPU data: 65.60 are not equal, with difference (17.3348083496) 
row: 1025 , cols: 29510, CPU data: 63.20 , GPU data: 46.04 are not equal, with difference (-17.1546440125) 
row: 1025 , cols: 29511, CPU data: 34.71 , GPU data: 3.61 are not equal, with difference (-31.1075572968) 
row: 1025 , cols: 29512, CPU data: 73.16 , GPU data: 30.61 are not equal, with difference (-42.5537414551) 
row: 1025 , cols: 29513, CPU data: 73.36 , GPU data: 50.77 are not equal, with difference (-22.5812911987) 
row: 1025 , cols: 29514, CPU data: 26.93 , GPU data: 65.22 are not equal, with difference (38.2892036438) 
row: 1025 , cols: 29515, CPU data: 35.00 , GPU data: 85.80 are not equal, with difference (50.7962722778) 
row: 1025 , cols: 29516, CPU data: 77.37 , GPU data: 81.34 are not equal, with difference (3.9757003784) 
row: 1025 , cols: 29517, CPU data: 68.77 , GPU data: 81.27 are not equal, with difference (12.5034255981) 
row: 1025 , cols: 29518, CPU data: 16.28 , GPU data: 53.34 are not equal, with difference (37.0597229004) 
row: 1025 , cols: 29519, CPU data: 69.77 , GPU data: 94.37 are not equal, with difference (24.6005477905) 
row: 1025 , cols: 29520, CPU data: 44.41 , GPU data: 26.00 are not equal, with difference (-18.4072074890) 
row: 1025 , cols: 29521, CPU data: 17.72 , GPU data: 87.73 are not equal, with difference (70.0068054199) 
row: 1025 , cols: 29522, CPU data: 91.21 , GPU data: 54.64 are not equal, with difference (-36.5697288513) 
row: 1025 , cols: 29523, CPU data: 97.51 , GPU data: 59.67 are not equal, with difference (-37.8483619690) 
row: 1025 , cols: 29524, CPU data: 69.64 , GPU data: 26.02 are not equal, with difference (-43.6227188110) 
row: 1025 , cols: 29525, CPU data: 96.33 , GPU data: 83.22 are not equal, with difference (-13.1161727905) 
row: 1025 , cols: 29526, CPU data: 13.45 , GPU data: 102.88 are not equal, with difference (89.4298095703) 
row: 1025 , cols: 29527, CPU data: 55.23 , GPU data: 99.57 are not equal, with difference (44.3422622681) 
row: 1025 , cols: 29528, CPU data: 90.47 , GPU data: 52.95 are not equal, with difference (-37.5181846619) 
row: 1025 , cols: 29529, CPU data: 90.69 , GPU data: 94.75 are not equal, with difference (4.0660400391) 
row: 1025 , cols: 29530, CPU data: 43.42 , GPU data: 78.82 are not equal, with difference (35.3996505737) 
row: 1025 , cols: 29531, CPU data: 64.01 , GPU data: 43.29 are not equal, with difference (-20.7180900574) 
row: 1025 , cols: 29532, CPU data: 62.77 , GPU data: 78.16 are not equal, with difference (15.3906745911) 
row: 1025 , cols: 29533, CPU data: 97.80 , GPU data: 98.48 are not equal, with difference (0.6776046753) 
row: 1025 , cols: 29534, CPU data: 47.07 , GPU data: 16.03 are not equal, with difference (-31.0431900024) 
